,term,tf_idf_score,tfidf_normalized
5146,va,13.380348567569424,0.0013890854268151735
4343,stever,13.183347464017316,0.0013686336904027154
2584,jarriel,13.183347464017316,0.0013686336904027154
793,cormier,13.183347464017316,0.0013686336904027154
2145,hijacking,13.183347464017316,0.0013686336904027154
4191,reykjavik,13.183347464017316,0.0013686336904027154
687,bunker,13.183347464017316,0.0013686336904027154
616,bork,13.183347464017316,0.0013686336904027154
7414,coverup,13.183347464017316,0.0013686336904027154
732,ceausescu,13.183347464017316,0.0013686336904027154
3434,noel,13.183347464017316,0.0013686336904027154
709,butz,13.183347464017316,0.0013686336904027154
3764,pekin,13.183347464017316,0.0013686336904027154
3,abm,13.16979643063896,0.001367226885274351
1401,dirksen,12.97488345946126,0.0013469919290328954
2545,israel,12.397865861988912,0.0012870886513554035
1496,elliot,12.163953243244931,0.0012628049334683395
1427,dobrynin,12.084735175349207,0.001254580882869156
4976,tkach,12.084735175349207,0.001254580882869156
963,chou,12.084735175349207,0.001254580882869156
1736,fbi,12.033222748401004,0.001249233102786127
4139,repr,11.758488135136767,0.0012207114356860616
3005,multilateral,11.121614964431231,0.0011545942313629356
3942,protocols,11.090354888959125,0.0011513489560205062
7870,dialog,11.090354888959125,0.0011513489560205062
3179,mercer,10.986122886681098,0.0011405280753355963
2649,kays,10.986122886681098,0.0011405280753355963
3342,nicolae,10.986122886681098,0.0011405280753355963
1957,gleason,10.986122886681098,0.0011405280753355963
1955,geothermal,10.986122886681098,0.0011405280753355963
4641,sovietamerican,10.986122886681098,0.0011405280753355963
1576,eldjárn,10.986122886681098,0.0011405280753355963
3989,rationing,10.947557918920438,0.0011365244401215055
4818,tensions,10.574650294049366,0.0010978109085090207
4303,shale,10.39720770839918,0.0010793896462692244
554,bethesda,10.39720770839918,0.0010793896462692244
4240,romanian,10.39720770839918,0.0010793896462692244
5249,wiretaps,10.39720770839918,0.0010793896462692244
3074,marijuana,10.39720770839918,0.0010793896462692244
6083,audit,10.136627702704109,0.0010523374445569496
811,cox,10.136627702704109,0.0010523374445569496
1457,drugs,10.027685623667503,0.001041027585655106
704,busing,9.887510598012987,0.0010264752678020366
1828,fellner,9.887510598012987,0.0010264752678020366
3611,pardee,9.887510598012987,0.0010264752678020366
2655,krogh,9.887510598012987,0.0010264752678020366
4948,thorsness,9.887510598012987,0.0010264752678020366
4506,serrana,9.887510598012987,0.0010264752678020366
1877,flora,9.887510598012987,0.0010264752678020366
2182,hanks,9.887510598012987,0.0010264752678020366
1863,fitzmaurice,9.887510598012987,0.0010264752678020366
5335,willy,9.887510598012987,0.0010264752678020366
4964,tiller,9.887510598012987,0.0010264752678020366
3982,quita,9.887510598012987,0.0010264752678020366
4246,roncador,9.887510598012987,0.0010264752678020366
7743,deplorable,9.887510598012987,0.0010264752678020366
425,beikirch,9.887510598012987,0.0010264752678020366
2992,mirvs,9.887510598012987,0.0010264752678020366
2968,mbfr,9.887510598012987,0.0010264752678020366
1185,counsellors,9.887510598012987,0.0010264752678020366
1868,flanigan,9.887510598012987,0.0010264752678020366
2691,khmer,9.887510598012987,0.0010264752678020366
1809,fauna,9.887510598012987,0.0010264752678020366
4758,sueño,9.887510598012987,0.0010264752678020366
9216,freeze,9.845364066873548,0.0010220998113704676
1671,everett,9.731162594595945,0.0010102439467746715
7872,dialogue,9.731162594595945,0.0010102439467746715
6818,clemency,9.704060527839234,0.0010074303365179428
3362,nairobi,9.704060527839234,0.0010074303365179428
4166,restraint,9.663042510079594,0.0010031720370858293
1965,gray,9.663042510079594,0.0010031720370858293
2959,mandatory,9.480720953285639,0.000984244262801191
5094,usaf,9.325697486487782,0.0009681504489923937
4211,rigid,9.325697486487782,0.0009681504489923937
3528,offenses,9.325697486487782,0.0009681504489923937
356,ash,9.325697486487782,0.0009681504489923937
3414,nguyen,9.010913347279288,0.0009354710267666612
1241,deakin,9.010913347279288,0.0009354710267666612
4943,tho,9.010913347279288,0.0009354710267666612
1373,devaluation,9.010913347279288,0.0009354710267666612
4521,shah,9.010913347279288,0.0009354710267666612
1131,consultative,9.010913347279288,0.0009354710267666612
4080,realtors,9.010913347279288,0.0009354710267666612
274,anemia,9.010913347279288,0.0009354710267666612
1261,dimension,8.920232378379616,0.0009260569512101156
1636,ensuring,8.920232378379616,0.0009260569512101156
2764,liaison,8.920232378379616,0.0009260569512101156
4406,sato,8.788898309344878,0.0009124224602684771
3017,macon,8.788898309344878,0.0009124224602684771
4379,salinity,8.788898309344878,0.0009124224602684771
4374,saigon,8.788898309344878,0.0009124224602684771
472,balzano,8.788898309344878,0.0009124224602684771
6982,competitively,8.788898309344878,0.0009124224602684771
2344,hébert,8.788898309344878,0.0009124224602684771
712,buzhardt,8.788898309344878,0.0009124224602684771
2986,millican,8.788898309344878,0.0009124224602684771
1990,gasperi,8.788898309344878,0.0009124224602684771
2999,moorhead,8.788898309344878,0.0009124224602684771
3486,oep,8.788898309344878,0.0009124224602684771
4204,rickover,8.788898309344878,0.0009124224602684771
4477,seevers,8.788898309344878,0.0009124224602684771
610,bondsteel,8.788898309344878,0.0009124224602684771
2956,malek,8.788898309344878,0.0009124224602684771
692,burger,8.788898309344878,0.0009124224602684771
4483,selassie,8.788898309344878,0.0009124224602684771
1339,delmarva,8.788898309344878,0.0009124224602684771
1973,guyford,8.788898309344878,0.0009124224602684771
4260,ruckelshaus,8.788898309344878,0.0009124224602684771
2717,knauer,8.788898309344878,0.0009124224602684771
3991,rebozo,8.788898309344878,0.0009124224602684771
2888,littrell,8.788898309344878,0.0009124224602684771
358,asian,8.75143472610982,0.0009085331656626379
1430,doctrine,8.569113169315866,0.0008896053913779996
1721,extradition,8.514767270271452,0.0008839634534278377
8553,equitably,8.317766166719343,0.0008635117170153795
1370,deterrence,8.317766166719343,0.0008635117170153795
2347,icbm,8.317766166719343,0.0008635117170153795
5316,whittier,8.317766166719343,0.0008635117170153795
1714,expositions,8.317766166719343,0.0008635117170153795
4305,shelf,8.109302162163289,0.0008418699556455597
2393,ioo,8.109302162163289,0.0008418699556455597
3328,nato,7.839826942140047,0.0008138942942394464
4874,tariff,7.839826942140047,0.0008138942942394464
1198,credible,7.703837054055123,0.0007997764578632817
3496,ooo,7.703837054055123,0.0007997764578632817
4203,rickenbacker,7.690286020676768,0.0007983696527349174
3175,menominee,7.690286020676768,0.0007983696527349174
4414,sawhill,7.690286020676768,0.0007983696527349174
2261,hiss,7.690286020676768,0.0007983696527349174
2356,imco,7.690286020676768,0.0007983696527349174
5419,zulfikar,7.690286020676768,0.0007983696527349174
4845,trapeznikov,7.690286020676768,0.0007983696527349174
1423,dixy,7.690286020676768,0.0007983696527349174
2800,lao,7.690286020676768,0.0007983696527349174
4119,reinforcing,7.690286020676768,0.0007983696527349174
2166,haile,7.690286020676768,0.0007983696527349174
9867,imbalances,7.690286020676768,0.0007983696527349174
4452,seafarers,7.690286020676768,0.0007983696527349174
4206,ricord,7.690286020676768,0.0007983696527349174
4447,scowcroft,7.690286020676768,0.0007983696527349174
4214,risher,7.690286020676768,0.0007983696527349174
2039,godley,7.690286020676768,0.0007983696527349174
2738,kristján,7.690286020676768,0.0007983696527349174
1065,communique,7.657505385346093,0.0007949665199548081
5268,walters,7.6246189861593985,0.0007915524072640979
3160,meir,7.6246189861593985,0.0007915524072640979
96,abolishment,7.6246189861593985,0.0007915524072640979
2884,lisagor,7.6246189861593985,0.0007915524072640979
1616,empress,7.6246189861593985,0.0007915524072640979
2469,inflationary,7.475183828552138,0.0007760387456701698
3635,pete,7.298371945946959,0.0007576829600810037
1860,fisheries,7.298371945946959,0.0007576829600810037
922,chancellor,7.2928622717581835,0.0007571109713855314
3242,missile,7.1105407149642295,0.0007381831971008932
641,breeder,6.931471805599453,0.0007195930975128163
4450,seabed,6.931471805599453,0.0007195930975128163
540,bentley,6.931471805599453,0.0007195930975128163
3038,malaysia,6.931471805599453,0.0007195930975128163
1592,elk,6.931471805599453,0.0007195930975128163
5580,addicts,6.931471805599453,0.0007195930975128163
7589,decisionmaking,6.931471805599453,0.0007195930975128163
4716,stockholm,6.931471805599453,0.0007195930975128163
3119,mcclendon,6.931471805599453,0.0007195930975128163
3814,phonograms,6.931471805599453,0.0007195930975128163
9255,ftn,6.928219158170275,0.0007192554228162549
1262,disadvantaged,6.892906837838795,0.0007155894622987258
262,amtrak,6.892906837838795,0.0007155894622987258
4908,terrorists,6.892906837838795,0.0007155894622987258
443,breakthrough,6.892906837838795,0.0007155894622987258
636,brandt,6.892906837838795,0.0007155894622987258
1252,defendants,6.892906837838795,0.0007155894622987258
3282,moon,6.892906837838795,0.0007155894622987258
7244,context,6.74589760137632,0.0007003276485316166
