,term,tf_idf_score,tfidf_normalized
762,debenture,65.91673732008658,0.015653656565458786
2827,tariff,35.188060461233235,0.008356327027989814
9049,resurvey,31.859756371375184,0.0075659340066384145
769,degroot,29.662531794038966,0.007044145454456455
1296,herrick,28.563919505370855,0.006783251178365475
15,airmail,21.972245773362197,0.0052178855218195964
2674,shearer,20.873633484694086,0.004956991245728616
2362,rapidan,19.775021196025975,0.004696096969637636
807,debentures,19.408121055678468,0.004608966917023998
1271,gridiron,18.676408907357867,0.004435202693546657
1518,irigoyen,18.676408907357867,0.004435202693546657
1644,lamont,18.676408907357867,0.004435202693546657
702,coolidge,18.021826694558577,0.004279754994379427
1745,macdonald,17.840464756759232,0.004236685849822542
905,eckener,17.577796618689757,0.004174308417455677
3538,annum,17.577796618689757,0.004174308417455677
1626,leavenworth,17.328679513998633,0.0041151490330571415
4832,cruisers,16.635532333438686,0.003950543071734855
1457,ibáñez,16.479184330021646,0.0039134141413646965
4914,debenturable,16.479184330021646,0.0039134141413646965
3075,willebrandt,16.479184330021646,0.0039134141413646965
1365,hipolito,15.380572041353537,0.003652519865273717
2360,ramsay,15.380572041353537,0.003652519865273717
280,boulder,14.556090791758852,0.003456725187767999
892,doumergue,14.281959752685427,0.0033916255891827374
2871,temperance,14.281959752685427,0.0033916255891827374
2358,railway,14.221081429928459,0.0033771684361824125
2587,stimson,13.862943611198906,0.003292119226445713
1256,graf,13.183347464017316,0.0031307313130917573
6791,indebtedness,13.183347464017316,0.0031307313130917573
518,campo,13.183347464017316,0.0031307313130917573
2268,porto,13.183347464017316,0.0031307313130917573
2359,railways,12.97488345946126,0.003081226072598212
1744,maccracken,12.084735175349207,0.002869837037000778
3015,vittorio,12.084735175349207,0.002869837037000778
912,emmanuele,12.084735175349207,0.002869837037000778
8742,recollect,12.084735175349207,0.002869837037000778
2228,peru,11.353023027028602,0.0026960728135234356
1844,mcnab,10.986122886681098,0.0026089427609097982
5577,endorsers,10.986122886681098,0.0026089427609097982
2276,postmaster,10.947557918920438,0.0025997844987547414
1589,kellogg,10.947557918920438,0.0025997844987547414
341,belgians,10.39720770839918,0.002469089419834285
1779,myron,10.39720770839918,0.002469089419834285
158,amongst,10.136627702704109,0.0024072078692173532
1360,hilary,9.887510598012987,0.002348048484818818
1598,kenmore,9.887510598012987,0.002348048484818818
2676,shenandoah,9.887510598012987,0.002348048484818818
742,curie,9.887510598012987,0.002348048484818818
971,elihu,9.887510598012987,0.002348048484818818
116,akerson,9.887510598012987,0.002348048484818818
1704,liquor,9.887510598012987,0.002348048484818818
1635,louvain,9.887510598012987,0.002348048484818818
1845,mcnary,9.887510598012987,0.002348048484818818
1545,jadwin,9.887510598012987,0.002348048484818818
8810,refreshment,9.887510598012987,0.002348048484818818
1571,josé,9.887510598012987,0.002348048484818818
1477,incandescent,9.887510598012987,0.002348048484818818
2383,reparations,9.731162594595945,0.002310919554448659
1760,mellon,9.704060527839234,0.002304483458511999
1753,marketing,9.480720953285639,0.002251445624121608
8414,prewar,8.920232378379616,0.002118342924911271
1665,legge,8.788898309344878,0.0020871542087278383
1377,holograph,8.788898309344878,0.0020871542087278383
4049,builded,8.788898309344878,0.0020871542087278383
2184,pallen,8.788898309344878,0.0020871542087278383
1099,faraday,8.788898309344878,0.0020871542087278383
2252,postmasters,8.788898309344878,0.0020871542087278383
1669,leguía,8.788898309344878,0.0020871542087278383
3139,wilmer,8.788898309344878,0.0020871542087278383
1447,interoceanic,8.788898309344878,0.0020871542087278383
5436,easterly,8.788898309344878,0.0020871542087278383
1645,lamp,8.514767270271452,0.0020220546101425768
8311,pound,8.514767270271452,0.0020220546101425768
2996,uruguay,8.514767270271452,0.0020220546101425768
1058,exposition,8.317766166719343,0.0019752715358674275
6495,hearty,8.317766166719343,0.0019752715358674275
799,dawes,8.317766166719343,0.0019752715358674275
2783,subdivision,8.317766166719343,0.0019752715358674275
3197,zeppelin,8.317766166719343,0.0019752715358674275
