,term,tf_idf_score,tfidf_normalized
2283,reconversion,157.1015572795397,0.041520741510302835
2142,potsdam,61.522288165414146,0.016259870801237475
1667,morgenthau,36.25420552604762,0.009581709579300653
282,byrnes,33.96421184743732,0.008976481743012433
1669,macarthur,32.95836866004329,0.008710645072091504
2847,unrra,32.95836866004329,0.008710645072091504
27,attlee,32.95836866004329,0.008710645072091504
2641,stettinius,31.859756371375184,0.00842029023635512
2239,reparations,30.815348216220492,0.008144261139047898
995,factfinding,30.761144082707073,0.008129935400618737
267,axis,30.761144082707073,0.008129935400618737
671,crimea,26.366694928034633,0.006968516057673203
1107,gaulle,26.33959286127792,0.006961353188458622
2075,pauley,21.487562597358306,0.00567899865374256
1850,nazi,20.101268236238415,0.005312611643823685
2441,stimson,19.408121055678468,0.0051294181388642475
275,bidault,18.676408907357867,0.00493603220751852
754,deferment,18.021826694558577,0.004763031128945373
1993,osmeña,17.577796618689757,0.004645677371782135
1852,nimitz,16.635532333438686,0.004396644119026498
769,demobilization,16.635532333438686,0.004396644119026498
2863,unconditional,16.218604324326577,0.004286453231077842
2332,repr,15.407674108110246,0.004072130569523949
341,biddle,15.380572041353537,0.004064967700309369
2404,rosenman,15.380572041353537,0.004064967700309369
2571,sofianopoulos,15.380572041353537,0.004064967700309369
3053,yalta,15.380572041353537,0.004064967700309369
1533,krug,15.380572041353537,0.004064967700309369
2918,vinson,15.249237972318797,0.004030257109107623
1866,nazis,14.281959752685427,0.0037746128645729854
1382,inductions,13.183347464017316,0.0034842580288366016
1646,lubin,13.183347464017316,0.0034842580288366016
2438,stalin,12.569418351353097,0.003322001254085327
1350,ickes,12.476649250079015,0.0032974830892698735
1689,manasco,12.084735175349207,0.003193903193100218
2418,ríos,12.084735175349207,0.003193903193100218
1223,hannegan,12.084735175349207,0.003193903193100218
1354,ilah,12.084735175349207,0.003193903193100218
2721,tva,11.090354888959125,0.0029310960793509987
1913,norwich,10.986122886681098,0.002903548357363835
1675,macready,10.986122886681098,0.002903548357363835
1732,mccandless,10.986122886681098,0.002903548357363835
3036,workweek,10.39720770839918,0.002747902574391561
2288,redeployment,10.39720770839918,0.002747902574391561
956,expediter,9.887510598012987,0.002613193521627451
986,forster,9.887510598012987,0.002613193521627451
1594,leyte,9.887510598012987,0.002613193521627451
1967,olympia,9.887510598012987,0.002613193521627451
1867,nazism,9.887510598012987,0.002613193521627451
342,biffle,9.887510598012987,0.002613193521627451
1660,maternal,9.887510598012987,0.002613193521627451
2852,usmcr,9.887510598012987,0.002613193521627451
559,colyer,9.887510598012987,0.002613193521627451
2073,patterson,9.704060527839234,0.0025647090694321238
1740,mcnutt,9.704060527839234,0.0025647090694321238
2520,shelf,9.325697486487782,0.002464710607869759
1340,io,9.116077839697729,0.0024093097364807884
1965,olav,9.010913347279288,0.0023815155644726863
544,coat,9.010913347279288,0.0023815155644726863
689,czechoslovak,9.010913347279288,0.0023815155644726863
7793,rescissions,9.010913347279288,0.0023815155644726863
2260,rationing,8.920232378379616,0.0023575492770928127
379,briggs,8.788898309344878,0.0023228386858910677
1134,generalissimo,8.788898309344878,0.0023228386858910677
1690,manchuria,8.788898309344878,0.0023228386858910677
1526,knudsen,8.788898309344878,0.0023228386858910677
5515,ftn,8.386791612521911,0.0022165649575623257
2106,philippine,8.204470055727956,0.0021683787628327096
1278,hitler,8.109302162163289,0.002143226615538921
1695,manpower,7.839826942140047,0.0020720063733734783
1279,hoarding,7.690286020676768,0.0020324838501546844
1439,isador,7.690286020676768,0.0020324838501546844
270,bastille,7.690286020676768,0.0020324838501546844
684,curtin,7.690286020676768,0.0020324838501546844
608,connelly,7.690286020676768,0.0020324838501546844
1889,niles,7.690286020676768,0.0020324838501546844
2933,wainwright,7.690286020676768,0.0020324838501546844
2800,towing,7.690286020676768,0.0020324838501546844
1781,militarism,7.6246189861593985,0.0020151285545538114
2126,poles,7.6246189861593985,0.0020151285545538114
503,chiang,7.6246189861593985,0.0020151285545538114
32,abdul,7.6246189861593985,0.0020151285545538114
1502,kaiser,7.6246189861593985,0.0020151285545538114
3005,wickard,7.6246189861593985,0.0020151285545538114
1931,opa,7.6246189861593985,0.0020151285545538114
1806,mobilization,7.2928622717581835,0.001927447789184631
2952,wagner,6.931471805599453,0.0018319350495943742
1025,filipino,6.931471805599453,0.0018319350495943742
1811,molotov,6.931471805599453,0.0018319350495943742
2308,reinsch,6.931471805599453,0.0018319350495943742
2425,selective,6.928219158170275,0.0018310753997253994
2139,postmaster,6.892906837838795,0.0018217426232080827
1148,gilbertsville,6.591673732008658,0.0017421290144183008
3067,zimmerman,6.591673732008658,0.0017421290144183008
1785,millis,6.591673732008658,0.0017421290144183008
1803,mistreatment,6.591673732008658,0.0017421290144183008
2214,purdum,6.591673732008658,0.0017421290144183008
2219,pyle,6.591673732008658,0.0017421290144183008
2098,pershing,6.591673732008658,0.0017421290144183008
1083,frankfurt,6.591673732008658,0.0017421290144183008
2446,sabath,6.591673732008658,0.0017421290144183008
474,caruthersville,6.591673732008658,0.0017421290144183008
1256,heraldic,6.591673732008658,0.0017421290144183008
5024,enlistees,6.591673732008658,0.0017421290144183008
1944,oaks,6.591673732008658,0.0017421290144183008
1198,guardia,6.591673732008658,0.0017421290144183008
850,dumbarton,6.591673732008658,0.0017421290144183008
2327,reparation,6.591673732008658,0.0017421290144183008
8138,shakeup,6.591673732008658,0.0017421290144183008
2218,puryear,6.591673732008658,0.0017421290144183008
8158,shipyards,6.591673732008658,0.0017421290144183008
1737,mckellar,6.591673732008658,0.0017421290144183008
2832,tugwell,6.591673732008658,0.0017421290144183008
1626,locke,6.591673732008658,0.0017421290144183008
2472,schwellenbach,6.591673732008658,0.0017421290144183008
2957,wallgren,6.591673732008658,0.0017421290144183008
2789,tiptonville,6.591673732008658,0.0017421290144183008
375,bretton,6.48744172973063,0.0017145812924311366
808,disapproval,6.48744172973063,0.0017145812924311366
2206,provisional,6.381254487788411,0.001686516815536552
1692,manila,6.238324625039508,0.0016487415446349368
2581,somerville,6.238324625039508,0.0016487415446349368
1150,gillette,6.238324625039508,0.0016487415446349368
1274,hiroshima,6.238324625039508,0.0016487415446349368
8434,stoppages,6.238324625039508,0.0016487415446349368
414,chester,6.0819766216224656,0.0016074199616541904
296,barkley,5.676511513514301,0.0015002586308772443
1963,okinawa,5.676511513514301,0.0015002586308772443
1459,jake,5.545177444479562,0.0014655480396754993
569,commending,5.545177444479562,0.0014655480396754993
4485,deems,5.545177444479562,0.0014655480396754993
607,connally,5.545177444479562,0.0014655480396754993
720,daniels,5.545177444479562,0.0014655480396754993
642,cordell,5.493061443340549,0.0014517741786819174
1994,oswego,5.493061443340549,0.0014517741786819174
2086,pemiscot,5.493061443340549,0.0014517741786819174
2898,vannevar,5.493061443340549,0.0014517741786819174
2619,stambaugh,5.493061443340549,0.0014517741786819174
6472,maladjustments,5.493061443340549,0.0014517741786819174
2059,parran,5.493061443340549,0.0014517741786819174
1608,lilienthal,5.493061443340549,0.0014517741786819174
304,bashore,5.493061443340549,0.0014517741786819174
7647,registrants,5.493061443340549,0.0014517741786819174
1729,maybank,5.493061443340549,0.0014517741786819174
1224,hans,5.493061443340549,0.0014517741786819174
1726,maverick,5.493061443340549,0.0014517741786819174
1011,fascist,5.493061443340549,0.0014517741786819174
1194,guadalcanal,5.493061443340549,0.0014517741786819174
2454,saipan,5.493061443340549,0.0014517741786819174
1725,maury,5.493061443340549,0.0014517741786819174
1462,japs,5.493061443340549,0.0014517741786819174
9159,vol,5.287325147024683,0.0013973996471588574
142,amphibious,5.271046405406137,0.0013930973001002986
2248,rumania,5.271046405406137,0.0013930973001002986
513,churchill,4.922682033436774,0.001301027257699626
1342,ioo,4.865581297297973,0.0012859359693233525
2698,symington,4.865581297297973,0.0012859359693233525
1060,forrestal,4.852030263919617,0.0012823545347160619
250,augusta,4.852030263919617,0.0012823545347160619
5992,induction,4.852030263919617,0.0012823545347160619
2734,teheran,4.852030263919617,0.0012823545347160619
1181,greek,4.852030263919617,0.0012823545347160619
1969,omar,4.852030263919617,0.0012823545347160619
1425,iol,4.852030263919617,0.0012823545347160619
1321,hurley,4.852030263919617,0.0012823545347160619
1532,kramer,4.852030263919617,0.0012823545347160619
581,commodore,4.852030263919617,0.0012823545347160619
2307,reimbursement,4.852030263919617,0.0012823545347160619
103,alben,4.852030263919617,0.0012823545347160619
576,commissioning,4.852030263919617,0.0012823545347160619
899,elmer,4.852030263919617,0.0012823545347160619
7186,posthumous,4.852030263919617,0.0012823545347160619
2263,rayburn,4.852030263919617,0.0012823545347160619
2431,sickness,4.740360476642819,0.00125284106297001
9128,victorious,4.460116189189808,0.0011787746385464063
2739,tempore,4.460116189189808,0.0011787746385464063
2294,reemployment,4.460116189189808,0.0011787746385464063
6569,meritorious,4.460116189189808,0.0011787746385464063
1631,lonejack,4.394449154672439,0.0011614193429455339
1471,jima,4.394449154672439,0.0011614193429455339
1482,jubal,4.394449154672439,0.0011614193429455339
2071,patman,4.394449154672439,0.0011614193429455339
852,dutchess,4.394449154672439,0.0011614193429455339
890,elbert,4.394449154672439,0.0011614193429455339
1650,luftwaffe,4.394449154672439,0.0011614193429455339
