,term,tf_idf_score,tfidf_normalized
4486,romney,1343.6028290410982,0.13024268851693346
3764,obama,387.81013789984274,0.037592533970954634
634,boo,273.09998914061845,0.02647305889122349
3502,mitt,240.59609121831605,0.02332228028226364
2868,kids,227.06046054057205,0.022010198399033447
1927,folks,213.49854300572082,0.020695568388582688
3447,michelle,200.3195351818242,0.01941805588721723
2196,guys,192.00176901510486,0.018611769829616518
3329,math,143.48146637590867,0.013908434493612341
4235,qaida,140.62237294951805,0.013631287105615278
3396,medicare,137.45267164866772,0.013324030816557746
3790,obamacare,120.84735175349208,0.01171438735638813
880,carney,104.36816742347042,0.010116970898698839
433,barack,97.77649369146177,0.009478004315623123
6861,breaks,93.66243997298598,0.009079206839601298
574,biden,90.10913347279289,0.008734765624007752
111,affordable,82.48451448663349,0.007995670071207096
3881,outsourcing,71.40979876342713,0.006922137983320258
545,benghazi,71.40979876342713,0.006922137983320258
4591,sandy,71.39415959767436,0.006920621994406141
4618,schieffer,69.21257418609092,0.00670914912229502
4880,somehow,68.92906837838794,0.006681667371135153
3058,lehrer,67.23527651431469,0.006517478965605783
1298,dc,63.76954061151497,0.006181526441605485
3252,malia,61.522288165414146,0.005963688108706684
470,bankrupt,59.197905783792,0.00573837315403372
4485,romnesia,57.12783901074171,0.0055377103866562066
4598,sasha,56.0292267220736,0.005431215956143588
3883,oval,55.54871981081852,0.005384637822620682
9905,homegrown,54.93061443340549,0.005324721525630968
1815,fl,54.75862726423568,0.00530804987920471
1727,entrepreneurs,54.75862726423568,0.00530804987920471
6700,bin,52.71046405406137,0.0051095103426327644
8194,dime,52.67918572255584,0.005106478364804531
3474,millionaires,51.89953383784504,0.005030902491207645
5970,ads,49.87220829730422,0.004834382862644846
2458,ia,49.213449819756114,0.004770525840804233
1056,clinton,49.044498777573786,0.004754148502586459
413,auto,47.58592632322215,0.004612761186524408
9448,gaggle,46.44086109751633,0.004501763821603995
6805,boot,46.14171612406061,0.004472766081530013
2676,jay,45.817557216222575,0.004441343605519249
5441,usama,45.747713916956386,0.0044345733168039345
5472,vegas,45.054566736396445,0.004367382812003876
3130,lobbyists,45.054566736396445,0.004367382812003876
4864,solar,42.979301459465425,0.004166216125531331
2586,investing,41.933958062609555,0.004064885336783961
2895,knock,41.76290613514093,0.004048304348393652
6707,biofuels,41.74726696938817,0.0040467883594795355
701,broadband,41.74726696938817,0.0040467883594795355
3700,newtown,40.648654680720064,0.0039402939289669165
1314,dad,40.20253647247683,0.0038970492784034584
4536,ryan,40.141045702708276,0.003891088645543413
3091,libya,38.92465037838378,0.0037731768684057337
580,billionaires,38.816242111356935,0.003762668268803339
4126,preexisting,38.11372016216745,0.0036945690169806144
625,boehner,36.25420552604762,0.003514316206916439
3343,maya,36.25420552604762,0.003514316206916439
6569,batteries,36.04365338911715,0.0034939062496031
2987,las,35.350506208557206,0.0034267157448030403
1906,firefighters,34.657359027997266,0.0033595252400029814
1311,dreamers,34.056980948711406,0.0033013273458912004
6668,bet,33.547166450087644,0.003251908269427169
2347,hire,33.36484489329369,0.003234234854919413
4836,skyline,32.95836866004329,0.0031948329153785805
1987,fugate,31.859756371375184,0.0030883384848659616
5449,va,31.626278432436823,0.003065706205579659
9687,gutting,31.191623125197538,0.003023572716002683
4400,restaurant,30.815348216220492,0.002987098354154539
400,aung,30.761144082707073,0.002981844054353342
4697,seniors,30.08305687100251,0.0029161133937797984
394,audio,29.662531794038966,0.0028753496238407227
5069,suu,29.662531794038966,0.0028753496238407227
9633,gridlock,29.112181583517703,0.0028220012016025044
2866,kid,28.78802267567967,0.0027905787255917405
